100
100 1000
0 18 8
0 94 1
0 8 3
0 15 4
0 81 1
0 63 2
0 95 3
0 72 9
0 36 7
0 68 4
0 42 9
1 32 1
1 94 5
1 80 4
1 3 1
1 36 2
1 47 3
1 25 9
1 89 3
1 20 9
2 90 4
2 69 10
2 45 7
2 79 7
2 17 5
2 66 10
2 97 6
2 51 9
3 15 3
3 95 1
3 7 7
3 33 8
3 1 1
3 17 9
3 12 6
3 22 2
3 74 1
3 99 5
3 88 10
4 88 8
4 83 3
4 57 4
4 99 8
4 53 10
4 34 3
4 27 2
4 45 10
4 80 10
5 22 6
5 93 4
5 51 4
5 72 3
5 56 3
5 96 4
5 60 7
6 40 9
6 84 8
6 23 4
6 28 5
6 22 4
6 32 7
6 74 1
6 14 10
6 16 8
7 29 6
7 3 7
7 70 6
7 91 8
7 85 3
7 88 4
7 69 2
7 71 7
7 43 3
7 66 6
7 21 10
7 73 7
8 16 7
8 48 8
8 14 7
8 87 3
8 0 3
8 33 6
8 86 10
8 78 10
8 82 1
8 98 8
8 88 6
9 66 7
9 48 9
9 19 8
9 92 1
9 21 5
9 54 6
9 75 4
9 85 1
10 69 7
10 60 7
10 84 2
10 94 4
10 86 9
10 40 10
10 95 4
10 92 6
10 33 5
10 57 4
10 73 3
11 93 6
11 67 8
11 46 4
11 27 8
11 30 4
11 38 9
11 18 10
11 77 8
12 67 4
12 25 1
12 3 6
12 20 1
12 57 6
13 86 7
13 65 9
13 80 2
13 23 6
13 75 9
13 83 4
14 24 10
14 27 8
14 87 7
14 98 7
14 8 7
14 77 1
14 64 1
14 55 4
14 60 6
14 15 9
14 6 10
14 76 4
15 3 3
15 78 6
15 21 1
15 0 4
15 97 5
15 14 9
15 72 1
15 63 2
15 29 3
16 20 5
16 8 7
16 48 1
16 71 3
16 43 6
16 52 1
16 55 9
16 33 8
16 72 8
16 93 9
16 42 9
16 53 3
16 36 9
16 6 8
16 73 5
17 28 10
17 74 7
17 52 1
17 59 9
17 3 9
17 2 5
17 23 5
17 44 9
17 30 9
17 89 10
18 0 8
18 78 8
18 60 2
18 70 7
18 67 10
18 96 8
18 52 5
18 25 6
18 80 6
18 55 8
18 11 10
18 43 1
18 30 4
19 60 3
19 67 7
19 75 1
19 33 9
19 77 10
19 41 9
19 82 3
19 9 8
19 44 6
19 74 4
19 22 8
19 57 3
19 37 3
20 76 9
20 16 5
20 88 6
20 70 7
20 52 3
20 62 3
20 89 1
20 92 6
20 1 9
20 27 6
20 12 1
21 15 1
21 61 3
21 84 5
21 22 1
21 47 1
21 28 10
21 9 5
21 75 10
21 72 2
21 29 3
21 41 2
21 7 10
21 74 6
22 5 6
22 34 3
22 35 9
22 21 1
22 54 10
22 6 4
22 55 10
22 3 2
22 19 8
22 44 3
23 77 2
23 47 8
23 60 8
23 82 2
23 25 1
23 6 4
23 13 6
23 91 4
23 17 5
23 52 4
24 14 10
24 55 9
24 35 3
24 82 1
24 56 5
24 67 7
25 86 5
25 60 2
25 88 9
25 39 1
25 23 1
25 12 1
25 26 7
25 42 6
25 30 5
25 93 9
25 95 3
25 82 6
25 75 8
25 18 6
25 1 9
25 29 7
26 54 1
26 71 2
26 65 8
26 25 7
26 76 5
26 53 7
26 46 10
26 93 8
27 42 7
27 14 8
27 78 6
27 11 8
27 85 10
27 56 7
27 77 6
27 89 2
27 58 10
27 92 7
27 34 5
27 83 2
27 37 9
27 4 2
27 66 6
27 20 6
27 62 3
28 17 10
28 60 5
28 6 5
28 72 2
28 31 4
28 90 2
28 49 9
28 98 2
28 46 2
28 21 10
28 87 7
29 67 10
29 41 10
29 7 6
29 81 7
29 36 3
29 91 7
29 21 3
29 25 7
29 15 3
30 47 3
30 33 9
30 94 9
30 59 7
30 25 5
30 11 4
30 36 8
30 17 9
30 48 6
30 92 2
30 18 4
31 68 6
31 47 1
31 61 9
31 28 4
31 98 8
31 45 6
31 76 8
32 1 1
32 66 3
32 85 2
32 6 7
32 72 4
32 78 6
33 30 9
33 19 9
33 59 5
33 60 4
33 93 9
33 88 8
33 39 5
33 3 8
33 90 5
33 8 6
33 70 1
33 50 3
33 16 8
33 10 5
34 61 1
34 77 4
34 22 3
34 98 5
34 46 10
34 27 5
34 83 8
34 4 3
35 22 9
35 24 3
35 54 2
35 40 5
35 69 3
35 38 2
35 98 1
36 92 9
36 90 9
36 63 6
36 29 3
36 30 8
36 1 2
36 0 7
36 83 7
36 71 4
36 47 5
36 16 9
37 97 7
37 96 9
37 52 5
37 84 6
37 63 10
37 66 7
37 62 9
37 27 9
37 19 3
37 40 1
38 77 5
38 54 1
38 52 8
38 11 9
38 50 3
38 91 1
38 64 6
38 87 7
38 90 10
38 35 2
38 39 9
39 47 9
39 64 4
39 25 1
39 33 5
39 67 4
39 46 4
39 76 2
39 95 2
39 38 9
39 79 7
40 6 9
40 10 10
40 35 5
40 68 9
40 62 4
40 37 1
41 59 8
41 29 10
41 91 7
41 19 9
41 86 9
41 21 2
41 77 4
41 42 9
42 27 7
42 25 6
42 91 3
42 85 5
42 69 4
42 81 3
42 65 1
42 16 9
42 76 1
42 0 9
42 41 9
43 98 5
43 16 6
43 99 5
43 91 5
43 7 3
43 88 4
43 18 1
44 60 1
44 74 1
44 59 3
44 19 6
44 17 9
44 51 8
44 22 3
44 63 5
45 2 7
45 54 8
45 68 6
45 31 6
45 4 10
45 98 4
46 65 3
46 11 4
46 34 10
46 76 8
46 26 10
46 68 1
46 28 2
46 39 4
47 39 9
47 30 3
47 83 4
47 23 8
47 31 1
47 21 1
47 80 7
47 59 8
47 1 3
47 49 1
47 36 5
47 89 4
48 8 8
48 16 1
48 49 5
48 63 1
48 56 7
48 9 9
48 61 2
48 54 2
48 99 10
48 81 10
48 30 6
49 67 10
49 58 4
49 48 5
49 28 9
49 72 8
49 65 4
49 91 6
49 54 1
49 59 9
49 47 1
50 97 2
50 71 7
50 33 3
50 38 3
51 90 9
51 88 4
51 60 8
51 5 4
