1
100 500
0 58 1
0 9 3
0 42 3
1 36 1
1 94 5
1 44 3
1 49 5
1 40 2
2 23 4
2 9 1
3 91 4
3 84 2
3 64 1
3 67 5
3 22 4
4 54 4
4 75 5
4 8 2
4 29 1
4 66 5
4 58 3
5 90 5
5 14 5
5 55 4
5 53 1
5 56 2
5 96 1
6 51 3
6 88 5
6 77 1
6 83 4
6 56 5
6 60 4
6 96 3
6 64 2
6 90 4
6 84 3
6 34 5
7 87 2
7 35 4
7 28 2
7 45 5
7 99 5
7 17 3
8 95 4
8 4 2
9 46 5
9 0 3
9 59 1
9 47 5
9 2 1
10 96 4
11 16 4
11 80 5
11 69 4
12 31 1
12 72 3
12 52 2
13 44 2
13 90 2
13 67 5
13 96 1
13 85 5
13 21 2
13 32 4
14 5 5
14 22 5
14 31 3
14 60 3
14 98 5
14 65 3
15 22 2
15 94 2
16 58 4
16 11 4
17 67 4
17 64 2
17 7 3
18 79 3
18 68 1
19 38 3
19 41 2
19 59 5
19 55 1
20 82 4
20 68 5
20 53 3
20 78 3
20 35 4
20 74 2
21 88 1
21 60 3
21 29 1
21 83 2
21 41 2
21 81 2
21 92 1
21 55 3
21 13 2
22 65 3
22 15 2
22 14 5
22 66 5
22 3 4
22 51 3
23 54 1
23 43 3
23 59 2
23 2 4
23 24 1
23 97 5
23 50 3
23 96 1
23 49 3
24 93 2
24 49 2
24 61 4
24 56 5
24 72 1
24 23 1
24 91 5
25 35 5
26 59 5
26 35 3
26 53 1
27 88 3
27 90 5
27 81 4
27 43 2
28 76 4
28 96 2
28 42 5
28 7 2
28 84 5
28 86 4
28 60 5
29 35 1
29 56 4
29 21 1
29 73 2
29 72 3
29 66 2
29 4 1
29 33 3
29 51 4
30 91 2
30 51 4
30 57 1
30 69 5
30 64 5
30 79 5
30 56 1
30 76 1
31 12 1
31 14 3
31 47 1
31 55 1
31 59 4
32 96 4
32 49 3
32 55 2
32 60 5
32 13 4
33 44 5
33 64 4
33 67 2
33 97 2
33 29 3
34 87 3
34 73 5
34 88 2
34 47 1
34 6 5
34 43 3
35 29 1
35 65 3
35 25 5
35 7 4
35 47 2
35 26 3
35 20 4
35 93 3
36 1 1
36 66 3
36 62 2
37 85 3
37 90 1
37 94 4
37 46 2
37 97 5
38 19 3
38 67 1
38 52 2
38 56 4
38 85 5
38 93 2
38 78 3
39 97 3
39 46 4
39 79 5
39 40 5
39 57 3
39 60 5
40 59 2
40 39 5
40 89 1
40 1 2
41 92 1
41 67 3
41 19 2
41 50 1
41 21 2
42 28 5
42 55 1
42 0 3
43 50 5
43 44 5
43 23 3
43 92 5
43 60 4
43 34 3
43 27 2
44 13 2
44 43 5
44 1 3
44 33 5
44 58 2
45 52 1
45 7 5
45 59 5
45 68 3
45 61 2
45 73 2
46 9 5
46 39 4
46 63 2
